iter	Passed	Remaining
0	57	57736
1	58	29002
2	58	19412
3	58	14621
4	59	11746
5	59	9834
6	59	8465
7	60	7453
8	60	6675
9	61	6049
10	61	5534
11	61	5101
12	62	4728
13	62	4409
14	62	4131
15	63	3888
16	63	3674
17	63	3483
18	64	3312
19	64	3160
20	64	3019
21	65	2892
22	65	2776
23	65	2670
24	65	2571
25	66	2480
26	66	2397
27	66	2321
28	67	2249
29	67	2182
30	67	2118
31	68	2059
32	68	2003
33	68	1951
34	68	1901
35	69	1854
36	69	1810
37	69	1768
38	70	1728
39	70	1690
40	70	1655
41	71	1621
42	71	1591
43	71	1560
44	72	1530
45	72	1501
46	72	1473
47	73	1448
48	73	1423
49	73	1399
50	73	1376
51	74	1353
52	74	1331
53	74	1310
54	75	1289
55	75	1269
56	75	1250
57	75	1231
58	76	1213
59	76	1197
60	76	1181
61	77	1165
62	77	1150
63	77	1135
64	77	1121
65	78	1108
66	78	1094
67	78	1078
68	78	1065
69	79	1052
70	79	1041
71	79	1029
72	80	1018
73	80	1007
74	80	997
75	81	987
76	81	976
77	81	966
78	82	957
79	82	947
80	82	938
81	83	929
82	83	920
83	83	912
84	83	902
85	84	893
86	84	884
87	84	875
88	84	868
89	85	860
90	85	853
91	85	846
92	86	839
93	86	832
94	86	825
95	86	818
96	87	812
97	87	806
98	87	799
99	88	793
100	88	786
101	88	779
102	88	773
103	89	767
104	89	761
105	89	755
106	89	750
107	90	745
108	90	739
109	90	734
110	91	729
111	91	724
112	91	720
113	92	715
114	92	710
115	92	705
116	92	700
117	93	695
118	93	690
119	93	685
120	93	681
121	94	676
122	94	670
123	94	666
124	94	662
125	94	658
126	95	653
127	95	648
128	95	644
129	95	641
130	96	637
131	96	633
132	96	629
133	96	625
134	97	622
135	97	618
136	97	615
137	97	611
138	98	607
139	98	604
140	98	601
141	98	597
142	99	595
143	99	592
144	100	590
145	100	586
146	100	583
147	100	580
148	101	577
149	101	574
150	101	571
151	101	568
152	102	565
153	102	563
154	102	560
155	103	557
156	103	555
157	103	552
158	103	549
159	104	547
160	104	545
161	104	542
162	105	540
163	105	538
164	106	538
165	106	537
166	107	534
167	107	532
168	107	530
169	108	527
170	108	525
171	108	523
172	109	521
173	109	519
174	109	517
175	110	515
176	110	513
177	110	510
178	110	508
179	111	506
180	111	503
181	111	501
182	111	499
183	112	497
184	112	495
185	112	492
186	112	490
187	113	488
188	113	486
189	113	484
190	114	482
191	114	481
192	114	479
193	114	477
194	115	475
195	115	473
196	115	471
197	115	469
198	116	467
199	116	465
200	116	463
201	116	462
202	117	460
203	117	458
204	117	456
205	117	454
206	118	452
207	118	451
208	118	449
209	119	447
210	119	446
211	119	444
212	119	442
213	120	441
214	120	439
215	120	437
216	120	436
217	121	434
218	121	433
219	121	431
220	122	430
221	122	428
222	122	427
223	122	425
224	123	424
225	123	422
226	123	421
227	124	419
228	124	418
229	124	417
230	124	415
231	125	414
232	125	413
233	125	411
234	126	410
235	126	409
236	126	408
237	127	406
238	127	405
239	127	404
240	127	403
241	128	401
242	128	400
243	128	399
244	129	398
245	129	396
246	129	395
247	130	394
248	130	393
249	130	392
250	131	391
251	131	390
252	131	388
253	132	387
254	132	386
255	132	385
256	132	384
257	133	382
258	133	381
259	133	380
260	133	379
261	134	378
262	134	376
263	134	375
264	135	374
265	135	373
266	135	372
267	135	371
268	136	370
269	136	368
270	136	367
271	136	366
272	137	365
273	137	364
274	137	362
275	137	361
276	138	360
277	138	359
278	138	358
279	138	357
280	139	356
281	139	355
282	139	354
283	139	352
284	140	351
285	140	350
286	140	349
287	141	348
288	141	347
289	141	346
290	141	345
291	142	344
292	142	343
293	142	342
294	142	341
295	143	340
296	143	339
297	143	338
298	144	337
299	144	336
300	144	336
301	144	335
302	145	334
303	145	333
304	145	332
305	146	331
306	146	330
307	146	330
308	147	329
309	147	328
310	147	327
311	148	326
312	148	325
313	148	324
314	149	324
315	149	323
316	149	323
317	150	322
318	150	321
319	150	320
320	151	319
321	151	319
322	151	318
323	152	317
324	152	316
325	152	315
326	152	314
327	153	313
328	153	312
329	153	311
330	153	311
331	154	310
332	154	309
333	154	308
334	154	307
335	155	306
336	155	305
337	155	305
338	156	304
339	156	303
340	156	302
341	157	302
342	157	301
343	157	301
344	158	300
345	158	299
346	158	298
347	159	297
348	159	297
349	159	296
350	159	295
351	160	294
352	160	294
353	160	293
354	160	292
355	161	291
356	161	290
357	161	290
358	162	289
359	162	288
360	162	287
361	162	287
362	163	286
363	163	286
364	164	285
365	164	284
366	164	284
367	164	283
368	166	284
369	166	283
370	166	282
371	167	282
372	167	281
373	167	280
374	168	280
375	168	279
376	168	278
377	169	278
378	169	277
379	169	276
380	169	276
381	170	275
382	170	274
383	170	274
384	171	273
385	171	272
386	171	272
387	172	271
388	172	270
389	172	270
390	173	269
391	173	268
392	173	268
393	173	267
394	174	266
395	174	265
396	174	265
397	174	264
398	175	263
399	175	263
400	175	262
401	175	261
402	176	261
403	176	260
404	176	259
405	177	259
406	177	258
407	177	257
408	177	257
409	178	256
