iter	Passed	Remaining
0	56	56810
1	57	28518
2	57	19085
3	57	14365
4	57	11535
5	58	9651
6	58	8302
7	58	7290
8	59	6507
9	59	5878
10	59	5365
11	62	5142
12	62	4763
13	63	4437
14	63	4154
15	63	3908
16	63	3688
17	64	3493
18	64	3317
19	64	3160
20	64	3016
21	64	2886
22	65	2769
23	65	2661
24	65	2563
25	66	2473
26	66	2389
27	66	2310
28	66	2237
29	67	2169
30	67	2105
31	67	2047
32	67	1991
33	68	1937
34	68	1887
35	68	1841
36	69	1797
37	69	1755
38	69	1715
39	69	1677
40	70	1641
41	70	1606
42	70	1574
43	71	1543
44	71	1512
45	71	1483
46	71	1456
47	72	1430
48	72	1407
49	72	1382
50	73	1359
51	73	1336
52	73	1314
53	73	1293
54	74	1272
55	74	1254
56	74	1235
57	74	1217
58	75	1199
59	75	1183
60	75	1167
61	76	1150
62	76	1135
63	76	1120
64	76	1106
65	77	1092
66	77	1078
67	77	1066
68	78	1052
69	78	1040
70	78	1028
71	78	1017
72	79	1006
73	79	995
74	79	984
75	80	973
76	80	962
77	80	952
78	80	942
79	81	932
80	81	923
81	81	914
82	81	903
83	82	894
84	82	885
85	82	877
86	82	869
87	83	861
88	83	853
89	83	845
90	83	838
91	84	831
92	84	824
93	84	817
94	85	810
95	85	803
96	85	797
97	85	790
98	86	784
99	86	777
100	86	771
101	86	765
102	87	759
103	87	753
104	87	747
105	88	743
106	88	737
107	88	732
108	88	727
109	89	721
110	89	716
111	89	711
112	89	706
113	90	701
114	90	696
115	90	691
116	90	686
117	91	681
118	91	677
119	91	672
120	92	668
121	92	663
122	92	659
123	92	655
124	93	651
125	93	647
126	93	643
127	93	639
128	94	636
129	94	632
130	94	628
131	94	624
132	95	620
133	95	617
134	95	613
135	96	610
136	96	609
137	97	606
138	97	603
139	97	599
140	97	596
141	98	592
142	98	589
143	98	585
144	98	582
145	99	580
146	99	577
147	99	574
148	100	571
149	100	568
150	100	565
151	100	562
152	101	559
153	101	556
154	101	553
155	101	551
156	102	548
157	102	548
158	103	546
159	103	543
160	103	540
161	103	537
162	104	535
163	104	532
164	104	530
165	105	527
166	105	524
167	105	522
168	105	519
169	105	517
170	106	515
171	106	512
172	106	510
173	107	508
174	107	505
175	107	504
176	107	501
177	108	499
178	108	497
179	108	495
180	109	493
181	109	491
182	109	489
183	109	487
184	110	485
185	110	483
186	110	481
187	110	478
188	111	476
189	111	474
190	111	472
191	111	470
192	112	469
193	112	467
194	112	465
195	112	463
196	113	461
197	113	460
198	113	458
199	114	456
200	114	454
201	114	453
202	115	451
203	115	449
204	115	448
205	115	446
206	116	445
207	116	443
208	116	441
209	117	440
210	117	438
211	117	436
212	117	435
213	118	433
214	118	432
215	118	431
216	119	429
217	119	428
218	119	426
219	119	425
220	120	423
221	120	422
222	120	420
223	120	418
224	121	417
225	121	415
226	121	414
227	121	412
228	122	411
229	122	410
230	122	408
231	123	407
232	123	405
233	123	404
234	123	403
235	124	401
236	124	400
237	124	399
238	124	397
239	125	396
240	125	395
241	125	393
242	125	392
243	126	391
244	126	389
245	126	388
246	126	387
247	127	385
248	127	384
249	127	383
250	128	382
251	128	381
252	128	379
253	128	378
254	129	377
255	129	376
256	129	375
257	129	373
258	130	372
259	130	371
260	130	370
261	131	370
262	131	368
263	131	367
264	132	366
265	132	365
266	132	364
267	132	362
268	133	361
269	133	360
270	133	359
271	133	358
272	134	357
273	134	356
274	134	355
275	134	353
276	135	352
277	135	351
278	135	350
279	135	349
280	136	348
281	136	347
282	136	346
283	136	345
284	137	344
285	137	343
286	137	342
287	138	341
288	138	340
289	138	339
290	138	338
291	139	337
292	139	336
293	139	335
294	140	334
295	140	333
296	140	332
297	140	332
298	141	331
299	141	330
300	141	329
301	142	328
302	142	327
303	142	326
304	142	325
305	143	324
306	143	323
307	143	322
308	143	321
309	144	320
310	144	320
311	144	319
312	144	318
313	145	317
314	145	316
315	145	315
316	146	314
317	146	313
318	146	312
319	146	312
320	147	311
321	147	310
322	147	309
323	147	308
324	148	307
325	148	307
326	148	306
327	149	305
328	149	304
329	149	303
330	149	302
331	150	302
332	150	301
333	150	300
334	150	299
335	151	298
336	151	297
337	151	297
338	151	296
339	152	295
340	152	294
341	152	293
342	152	292
343	153	292
344	153	291
345	153	290
346	153	289
347	154	288
348	154	288
349	154	287
350	154	286
351	155	285
352	155	285
353	155	284
354	156	283
355	156	282
356	156	281
357	156	281
358	157	280
359	157	279
360	157	279
361	157	278
362	158	277
363	158	276
364	158	276
365	158	275
366	159	274
367	159	273
368	159	273
369	159	272
370	160	271
371	160	270
372	160	270
373	161	269
374	161	268
375	161	268
376	161	267
377	162	266
378	162	266
379	162	265
380	162	264
381	163	264
382	163	263
383	163	262
384	164	262
385	164	261
386	164	260
387	165	260
388	165	259
389	165	259
390	166	258
391	166	257
392	166	257
393	166	256
394	167	255
395	167	255
396	167	254
397	167	253
398	168	253
399	168	252
400	168	251
401	168	251
402	169	250
403	169	250
404	169	249
405	170	248
406	170	248
407	170	247
408	170	246
409	171	246
410	171	245
411	171	244
412	171	244
413	172	243
414	172	242
415	172	242
416	173	241
417	173	241
418	173	240
419	174	240
420	174	239
421	174	239
422	174	238
423	175	237
424	175	237
425	175	236
426	175	235
427	176	235
428	176	234
429	176	234
430	177	233
431	177	233
432	177	232
433	177	232
434	178	231
435	178	231
436	179	230
437	179	230
438	179	229
439	179	228
440	180	228
441	180	227
442	180	227
443	180	226
444	181	225
445	181	225
446	181	224
447	182	224
448	182	223
449	182	223
450	182	222
451	183	222
452	183	221
453	183	220
454	183	220
455	184	219
456	184	219
457	184	218
458	185	218
459	185	217
460	185	217
461	186	216
462	186	216
463	186	215
464	186	214
465	187	214
466	187	213
467	187	213
468	188	212
469	188	212
470	188	211
471	188	211
472	189	210
473	189	210
474	189	209
475	189	209
476	190	208
477	190	208
478	190	207
479	190	206
480	191	206
481	191	205
482	191	205
483	192	204
484	192	204
485	192	203
486	192	203
487	193	202
488	193	202
489	193	201
490	194	201
491	194	200
492	194	200
493	194	199
494	195	199
495	195	198
496	195	198
497	196	197
498	196	197
499	196	196
500	196	196
501	197	195
502	197	194
503	197	194
504	197	193
505	198	193
506	198	192
507	198	192
508	198	191
509	199	191
510	199	190
511	199	190
512	199	189
513	200	189
514	200	188
515	200	188
516	200	187
517	201	187
518	201	186
519	201	186
520	201	185
521	202	185
522	202	184
523	202	184
524	203	183
525	203	183
526	203	182
527	203	182
528	204	181
529	204	181
530	204	180
531	204	180
532	205	179
533	205	179
534	205	178
535	205	178
536	206	177
537	206	177
538	206	176
539	206	176
540	207	175
541	207	175
542	207	174
543	207	174
544	208	173
545	208	173
546	208	172
547	208	172
548	209	171
549	209	171
550	209	170
551	210	170
552	210	169
553	210	169
554	210	169
555	211	168
556	211	168
557	211	167
558	211	167
559	212	166
560	212	166
561	212	165
562	212	165
563	213	164
564	213	164
565	213	163
566	213	163
567	214	162
568	214	162
569	214	161
570	215	161
571	215	161
572	215	160
573	215	160
574	216	159
575	216	159
576	216	158
577	218	159
578	218	158
579	218	158
580	219	158
581	219	157
582	219	157
583	219	156
584	220	156
585	220	155
586	220	155
587	220	154
588	221	154
589	221	153
590	221	153
591	222	153
592	222	152
593	222	152
594	222	151
595	223	151
596	223	150
597	223	150
598	224	149
599	224	149
600	224	149
601	224	148
602	225	148
603	225	147
604	225	147
605	225	146
606	226	146
607	226	146
608	226	145
609	227	145
610	227	144
611	227	144
612	227	143
613	228	143
614	228	143
615	228	142
616	229	142
617	229	141
618	229	141
619	229	140
620	230	140
621	230	140
622	230	139
623	231	139
624	231	138
625	231	138
626	231	137
627	232	137
628	232	137
629	232	136
630	232	136
631	233	135
632	233	135
633	233	134
634	234	134
635	234	134
636	234	133
637	234	133
638	235	132
639	235	132
640	235	131
641	235	131
642	236	131
643	236	130
644	236	130
645	237	130
646	237	129
647	237	129
648	238	128
649	238	128
650	238	127
651	238	127
652	239	127
653	239	126
654	239	126
655	239	125
656	240	125
657	240	125
658	240	124
659	241	124
660	241	123
661	241	123
662	241	122
663	242	122
664	242	122
665	242	121
666	243	121
667	243	120
668	243	120
669	243	120
670	244	119
671	244	119
672	244	119
673	245	118
674	245	118
675	245	117
676	246	117
677	246	116
678	246	116
679	246	116
680	247	115
681	247	115
682	247	114
683	247	114
684	248	114
685	248	113
686	248	113
687	249	112
688	249	112
689	249	112
690	249	111
691	250	111
692	250	110
693	250	110
694	250	110
695	251	109
696	251	109
697	251	108
698	252	108
699	252	108
700	252	107
701	252	107
702	253	106
703	253	106
704	253	106
705	254	105
706	254	105
707	254	105
708	255	104
709	255	104
710	255	103
711	255	103
712	256	103
713	256	102
714	256	102
715	257	101
716	257	101
717	257	101
718	257	100
719	258	100
720	258	99
721	258	99
722	258	99
723	259	98
724	259	98
725	259	98
726	259	97
727	260	97
728	260	96
729	260	96
730	261	96
731	261	95
732	261	95
733	261	94
734	262	94
735	262	94
736	262	93
737	262	93
738	263	92
739	263	92
740	263	92
741	264	91
742	264	91
743	264	91
744	264	90
745	265	90
746	265	89
747	265	89
748	266	89
749	266	88
750	266	88
751	266	87
752	267	87
753	267	87
754	267	86
755	267	86
756	268	86
757	268	85
758	268	85
759	268	84
760	269	84
761	269	84
762	269	83
763	270	83
764	270	83
765	270	82
766	270	82
767	271	81
768	271	81
769	271	81
770	271	80
771	272	80
772	272	80
773	272	79
774	273	79
775	273	78
776	273	78
777	273	78
778	274	77
779	274	77
780	274	77
781	275	76
782	275	76
783	275	75
784	275	75
785	276	75
786	276	74
787	276	74
788	276	74
789	277	73
790	277	73
791	277	72
792	278	72
793	278	72
794	278	71
795	278	71
796	279	71
797	279	70
798	279	70
799	280	70
800	280	69
801	280	69
802	280	68
803	281	68
804	281	68
805	281	67
806	282	67
807	282	67
808	283	66
809	283	66
810	283	66
811	284	65
812	284	65
813	284	65
814	284	64
815	285	64
816	285	63
817	285	63
818	285	63
819	286	62
820	286	62
821	286	62
822	286	61
823	287	61
824	287	60
825	287	60
826	287	60
827	288	59
828	288	59
829	288	59
830	289	58
831	289	58
832	289	58
833	289	57
834	290	57
835	290	56
836	290	56
837	290	56
838	291	55
839	291	55
840	291	55
841	291	54
842	292	54
843	292	54
844	292	53
845	292	53
846	293	52
847	293	52
848	293	52
849	293	51
850	294	51
851	294	51
852	294	50
853	295	50
854	295	50
855	295	49
856	295	49
857	296	48
858	296	48
859	296	48
860	296	47
861	297	47
862	297	47
863	297	46
864	297	46
865	298	46
866	298	45
867	298	45
868	298	45
869	299	44
870	299	44
871	299	43
872	299	43
873	300	43
874	300	42
875	300	42
876	300	42
877	301	41
878	301	41
879	301	41
880	302	40
881	302	40
882	302	40
883	302	39
884	303	39
885	303	39
886	303	38
887	303	38
888	304	37
889	304	37
890	304	37
891	305	36
892	305	36
893	305	36
894	305	35
895	306	35
896	306	35
897	306	34
898	306	34
899	307	34
900	307	33
901	307	33
902	308	33
903	308	32
904	308	32
905	308	32
906	309	31
907	309	31
908	309	31
909	310	30
910	310	30
911	310	29
912	310	29
913	311	29
914	311	28
915	311	28
916	312	28
917	312	27
918	312	27
919	312	27
920	313	26
921	313	26
922	313	26
923	313	25
924	314	25
925	314	25
926	314	24
927	314	24
928	315	24
929	315	23
